Entity,Code,Year,PISA Math Score,PISA Science Score,PISA Reading Score
Finland,FIN,2003,544,548,543
Finland,FIN,2006,548,563,547
Finland,FIN,2009,541,554,536
Finland,FIN,2012,519,545,524
Finland,FIN,2015,511,531,526
Finland,FIN,2018,507,522,520
South Korea,KOR,2003,542,538,534
South Korea,KOR,2006,547,522,556
South Korea,KOR,2009,546,538,539
South Korea,KOR,2012,554,538,536
South Korea,KOR,2015,524,516,517
South Korea,KOR,2018,526,519,514
Turkey,TUR,2003,423,434,441
Turkey,TUR,2006,424,424,447
Turkey,TUR,2009,445,454,464
Turkey,TUR,2012,448,463,475
Turkey,TUR,2015,420,425,428
Turkey,TUR,2018,454,468,466
OECD,OECD,2003,499,500,494
OECD,OECD,2006,494,498,489
OECD,OECD,2009,495,501,493
OECD,OECD,2012,494,501,496
OECD,OECD,2015,490,493,493
OECD,OECD,2018,489,489,487
