LOCATION,INDICATOR,SUBJECT,TIME,MEASURE,Value
FIN,TEACHINGHR,PRY,2015,HR_YEAR,676.8
FIN,TEACHINGHR,PRY,2016,HR_YEAR,680.4
FIN,TEACHINGHR,PRY,2017,HR_YEAR,673.2
FIN,TEACHINGHR,PRY,2018,HR_YEAR,676.8
FIN,TEACHINGHR,PRY,2019,HR_YEAR,676.8
FIN,TEACHINGHR,UPPSRY,2015,HR_YEAR,550.088
FIN,TEACHINGHR,UPPSRY,2016,HR_YEAR,553.014
FIN,TEACHINGHR,UPPSRY,2017,HR_YEAR,547.162
FIN,TEACHINGHR,UPPSRY,2018,HR_YEAR,550.088
FIN,TEACHINGHR,UPPSRY,2019,HR_YEAR,550.84
FIN,TEACHINGHR,LOWSRY,2015,HR_YEAR,592.2
FIN,TEACHINGHR,LOWSRY,2016,HR_YEAR,595.35
FIN,TEACHINGHR,LOWSRY,2017,HR_YEAR,589.05
FIN,TEACHINGHR,LOWSRY,2018,HR_YEAR,592.2
FIN,TEACHINGHR,LOWSRY,2019,HR_YEAR,592.2
KOR,TEACHINGHR,PRY,2015,HR_YEAR,657.82617
KOR,TEACHINGHR,PRY,2016,HR_YEAR,657.20642
KOR,TEACHINGHR,PRY,2017,HR_YEAR,671.13441
KOR,TEACHINGHR,PRY,2018,HR_YEAR,674.64013
KOR,TEACHINGHR,PRY,2019,HR_YEAR,675.60699
KOR,TEACHINGHR,UPPSRY,2015,HR_YEAR,551.01278
KOR,TEACHINGHR,UPPSRY,2016,HR_YEAR,551.87125
KOR,TEACHINGHR,UPPSRY,2017,HR_YEAR,550.72526
KOR,TEACHINGHR,UPPSRY,2018,HR_YEAR,547.37683
KOR,TEACHINGHR,UPPSRY,2019,HR_YEAR,544.95892
KOR,TEACHINGHR,LOWSRY,2015,HR_YEAR,547.54006
KOR,TEACHINGHR,LOWSRY,2016,HR_YEAR,540.45094
KOR,TEACHINGHR,LOWSRY,2017,HR_YEAR,533.23146
KOR,TEACHINGHR,LOWSRY,2018,HR_YEAR,525.95107
KOR,TEACHINGHR,LOWSRY,2019,HR_YEAR,517.30148
TUR,TEACHINGHR,PRY,2015,HR_YEAR,720
TUR,TEACHINGHR,PRY,2016,HR_YEAR,720
TUR,TEACHINGHR,PRY,2017,HR_YEAR,720
TUR,TEACHINGHR,PRY,2018,HR_YEAR,720
TUR,TEACHINGHR,PRY,2019,HR_YEAR,718
TUR,TEACHINGHR,UPPSRY,2015,HR_YEAR,504
TUR,TEACHINGHR,UPPSRY,2016,HR_YEAR,504
TUR,TEACHINGHR,UPPSRY,2017,HR_YEAR,504
TUR,TEACHINGHR,UPPSRY,2018,HR_YEAR,504
TUR,TEACHINGHR,UPPSRY,2019,HR_YEAR,502.6
TUR,TEACHINGHR,LOWSRY,2015,HR_YEAR,504
TUR,TEACHINGHR,LOWSRY,2016,HR_YEAR,504
TUR,TEACHINGHR,LOWSRY,2017,HR_YEAR,504
TUR,TEACHINGHR,LOWSRY,2018,HR_YEAR,504
TUR,TEACHINGHR,LOWSRY,2019,HR_YEAR,502.6
OAVG,TEACHINGHR,PRY,2015,HR_YEAR,793.49802
OAVG,TEACHINGHR,PRY,2016,HR_YEAR,788.87943
OAVG,TEACHINGHR,PRY,2017,HR_YEAR,788.21192
OAVG,TEACHINGHR,PRY,2018,HR_YEAR,773.50137
OAVG,TEACHINGHR,PRY,2019,HR_YEAR,771.64604
OAVG,TEACHINGHR,UPPSRY,2015,HR_YEAR,682.79692
OAVG,TEACHINGHR,UPPSRY,2016,HR_YEAR,684.0694
OAVG,TEACHINGHR,UPPSRY,2017,HR_YEAR,681.28097
OAVG,TEACHINGHR,UPPSRY,2018,HR_YEAR,672.40485
OAVG,TEACHINGHR,UPPSRY,2019,HR_YEAR,672.33483
OAVG,TEACHINGHR,LOWSRY,2015,HR_YEAR,725.24836
OAVG,TEACHINGHR,LOWSRY,2016,HR_YEAR,728.01889
OAVG,TEACHINGHR,LOWSRY,2017,HR_YEAR,726.76937
OAVG,TEACHINGHR,LOWSRY,2018,HR_YEAR,705.10507
OAVG,TEACHINGHR,LOWSRY,2019,HR_YEAR,705.70396
